Sr. No,"Regulations/
Standards",Observation,Recommendation,Priority,Asset Category,Location,Type of Hazard,Element,Image,Priority_Score,Hazard_Fire,Hazard_Shock,Hazard_Security,Hazard_Material,Hazard_Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hazard_Weight_Sum,Risk_Score
1,IS 1646,"Fire alarm panel off condition. After switch ON, battery fault, fault alarm observed.","Ensure the fire alarm panel remains powered ON at all times. Connect to an uninterruptible power supply (UPS) or dedicated emergency power circuit to prevent accidental shutdown. A ""battery fault"" on a fire alarm panel after switching it on from an ""off"" state, observed under Indian Standard (IS) 1646, likely means the panel's backup battery is either faulty or not charging properly, or that there's an issue with the power supply to the panel. To resolve this, you should inspect the backup battery for damage and ensure its fully charged, then check the electrical connections and power supply to the panel. If the issue persists, professional help may be needed to diagnose a deeper system fault.",MEDIUM,Fire Alarm Panel,Main Security Building – Visitors Room,FIRE,Maintenance & Compliance,/content/word_images/1_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
2,CEA MSES 2023 Reg 14,LDB 4 2.5 sq mm cable with C63 A MCB is used.,"For a 2.5 sq.mm Cu cable, use: B20A or C20A MCB (max) The protective device rating must not exceed the current carrying capacity of the cable. C20A or lower depending on actual load current and cable installation method. Using a 2.5 sq mm LDB 4 cable with a C63 A MCB is a safety risk, as the cable's current carrying capacity is significantly lower than the MCB's rating, creating a fire hazard. A 2.5 sq mm cable is suitable for loads around 20 25 amps, whereas a C63 (63 Amp) MCB is designed to protect circuits up to 63 amps, meaning the cable could overheat and melt before the MCB trips. This combination is incorrect and requires correction by using a higher rated cable (e.g., 6 sq mm or more for this current) or a lower rated MCB (e.g., 25A or 32A for 2.5 sq mm cable).",HIGH,Distribution Board,Main Security Building – Visitors Room,FIRE/SHOCK,Design & Engineering,/content/word_images/2_obs.jpeg,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
3,IS 1646,Fire alarm cable is unarmoured.,"Replace unarmoured cables with armoured fire rated cables, such as: Steel Wire Armoured (SWA) or Steel Tape Armoured (STA) types. These provide mechanical protection and fire resistance.",LOW,Fire Alarm Panel,Main Security Building – Visitors Room,FIRE,Maintenance Compliance,/content/word_images/3_obs.jpeg,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
4,Good Engineering Practice,Unauthorised entry in Emergency control center.,"Restrict access to ECC using: Biometric access, RFID card, or electronic keypad locks. Allow entry only to trained and authorized personnel (e.g., facility manager, fire officer, control room operators). Maintain a list of authorized personnel and review periodically.",LOW,Control Room,Emergency control center.,UNAUTHOURIZED ACCESS,System Deviation,,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,Good Engineering Practice,"Alcohol, frisking and metal detector & quantity to be increased at security gate.","Install additional alcohol breath analysers at all major entry points. Make alcohol screening mandatory for all contract workers, labourers, and plant operating staff. Provide frisking booths with proper privacy for male and female personnel. Install more handheld and walkthrough metal detectors at entry points. The statement, ""Alcohol, frisking and metal detector & quantity to be increased at security gate,"" suggests increasing the frequency of security checks for prohibited items and potentially alcohol, along with implementing more metal detection screenings and possibly even increasing the number of security personnel and equipment.",LOW,Security Equipment,Emergency control center.,SECURITY,Operational Difficulties.,,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5
6,CEA MSES 2023 Reg 14,LDB 3/4 2.5 sq/mm cable with C63A MCB is used.,"For a 2.5 sq.mm Cu cable, use: B20A or C20A MCB (max) The protective device rating must not exceed the current carrying capacity of the cable. C20A or lower depending on actual load current and cable installation method.",HIGH,Distribution Board,Emergency control center.,FIRE/SHOCK,Design & Engineering,/content/word_images/6_obs.jpeg,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
7,CEA MSES 2023 Reg 44,RCB not tripping while pressing test switch. Tour,"Replace with a new, IS/IEC certified RCB of appropriate: Current rating (e.g., 25A, 40A, 63A) Sensitivity (typically 30 mA for personal protection or 100/300 mA for equipment/fire protection).",HIGH,Distribution Board,Emergency control center.,FIRE/SHOCK,System Deviation,/content/word_images/7_obs.jpeg,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
8,Good Engineering Practice,"Recently observed theft inside Solar Panel Yard, in which copper materials burglary observed.","Install a checkpoint based Tour Guarding System using: RFID or NFC tags placed at key locations Handheld data loggers or mobile apps used by security guards to scan checkpoints Alternatively, adopt GPS based patrol tracking for open area facilities.",NONE,,Emergency control center.,MATERIAL LOSS,Accountability,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0
9,CEA MSES 2023 Reg 21,Aluminium ladder not to be used for electrical activities.,"Immediately stop the use of aluminium or any conductive ladders in the CCTV room or similar electrical/electronic control rooms. Regular practice prohibit the use of aluminium ladders inside electrical panel rooms or in proximity to energized equipment because they are conductive and pose a severe risk of electric shock, burns, and fatalities due to conductivity.",HIGH,Ladder,CCTV Room,FIRE/SHOCK,System Deviation,/content/word_images/9_obs.jpeg,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
10,CEA MSES 2023 Reg 14,LDB 2 2.5 sq mm cable with C63A MCB is used.,"For a 2.5 sq.mm Cu cable, use: B20A or C20A MCB (max) The protective device rating must not exceed the current carrying capacity of the cable. C20A or lower depending on actual load current and cable installation method.",HIGH,Distribution Board,CCTV Room,FIRE/SHOCK,Design & Engineering,,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
11,Good Engineering Practice,"During fire safety regulations often require boom barriers and access controlled doors to open automatically in case of a fire or smoke to facilitate emergency evacuation, with the system integrated with the fire alarm or smoke detection system. This is a critical feature that enables people to exit safely and allows emergency responders to access the building.","Configure the security gate’s motorized control system to receive input from the fire alarm control panel (FACP). On fire alarm activation, the gate should automatically unlock and open without manual intervention.",LOW,Gate Barrier,CCTV Room,DELAY EMERGENCY EVACUATION,Emergency Response,,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
12,IS 3043,CLMS Room Security MCC panel earthing to be provided with 25 sq. mm. cable.,Install a dedicated earth conductor of 25 sq. mm copper cable from the MCC panel to the earth pit.,MEDIUM,Earthing,CLMS Room,SHOCK,Design & Engineering,,2,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
13,CEA MSES 2023 Reg 14,Panel maintenance and cleaning required.,"Implement a periodic maintenance schedule (e.g., every 6 months). Use dry, non conductive cleaning tools such as: Vacuum cleaner with ESD safe attachments Soft brushes to remove dust and debris Avoid moisture or liquids inside the panel to prevent short circuits.",HIGH,Electrical Panels,CLMS Room,SHORT CIRCUIT,Maintenance Compliance,,3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
14,CEA MSES 2023 Reg 43,Security Room Socket earth missing and broken condition.,Inspect all socket outlets in the Security Room. Repair or replace sockets that have: Broken earth terminals Missing earth wiring Connect all sockets to a proper earth conductor as per electrical standards.,HIGH,Socket,CLMS Room,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
15,IS 2189,Smoke detectors not working.,"Conduct a comprehensive inspection of all smoke detectors. Check: Power supply (mains and backup battery) Wiring and connections Detector sensitivity and contamination (dust, dirt) Functional operation using detector test tools or smoke test aerosol",MEDIUM,Detector,Admin Security Office,FIRE,Installation,,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
16,CEA MSES 2023 Reg 51,Store room power cable and AC drain line coupled together. Possible short circuit and water leak.,Reroute either the power cable or drain line to ensure physical separation. Maintain a minimum safe distance of at least 300 mm (1 foot) between electrical cables and plumbing or drainage lines.,HIGH,Store Room,Admin Security Office,FIRE,Maintenance Complication,/content/word_images/16_obs.jpeg,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
17,Good Engineering Practice,Sanitizers were found inside store room.,Relocate sanitizers to a designated flammable material storage area that complies with fire safety regulations.,LOW,Store Room,Admin Security Office,FIRE,Maintenance Complication,/content/word_images/17_obs.jpeg,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
18,IS 2189,Smoke detectors inside store room not working.,"Conduct a comprehensive inspection of all smoke detectors. Check: Power supply (mains and backup battery) Wiring and connections Detector sensitivity and contamination (dust, dirt) Functional operation using detector test tools or smoke test aerosol",MEDIUM,Detector,Admin Security Office,FIRE,Installation,,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
19,IEC 62305,Security biometric shed to be earthed.,Install a dedicated earth electrode (earth pit) near the biometric shed. Connect the shed's metal structure and biometric devices to the earth electrode using: Copper conductor of at least 6 sq. mm (or as per design and soil resistivity) Use GI strip (minimum 25x3 mm) if shed is large or load is higher.,MEDIUM,Shed,Admin Security Office,LIGHTNING,Installation,,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
20,Good Engineering Practice,Admin UPS cover to be IP65 compartment.,"Install the UPS in a dust tight and water jet proof enclosure that meets IP65 standard (as per IEC 60529). The enclosure should: Be made of non corrosive material (e.g., powder coated steel or polycarbonate) Allow adequate heat dissipation or include a ventilation fan/filter (with IP rated filters)",LOW,UPS,Admin Security Office,SHOCK,Maintenance Complication,/content/word_images/20_obs.jpeg,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
21,CEA MSES 2023 Reg 58,"Cable joints were observed in Admin UPS, maintenance to be done.","Replace the jointed cables with continuous runs wherever possible. Cables supplying or exiting UPS systems should be single length, uninterrupted, and properly rated. Physical finding: connections (joints) were noticed on the cables connected to the Uninterruptible Power Supply (UPS) in the Administration department. This is not inherently good or bad; it simply means the cables are connected in a way that allows for power continuity, but the quality or location of these joints needs to be assessed to ensure safety and reliability for the electrical system.",HIGH,Cable,Admin Security Office,SHOCK,Maintenance Complication,/content/word_images/21_obs.jpeg,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
22,NFPA 70 Article 110.26,Battery not accessible and ventilation is required.,"Ensure the battery bank is placed in an accessible location that allows for safe and easy inspection, maintenance, and replacement. Maintain at least 0.6 1.0 meter clearance around the battery bank. Provide mechanical exhaust ventilation for the battery room to dissipate heat and hazardous gases (e.g., hydrogen from lead acid batteries).",MEDIUM,Battery,Admin Security Office,FIRE,Design & Engineering,,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
23,"CEA MSES 2023 Reg 108.6 

IS 1646 
Clause 6.5",Incomer cable gland damaged condition.,Immediate Replacement of Damaged Gland. Ensure that the gland: Provides proper sealing to prevent moisture or dust ingress. Offers adequate strain relief to prevent mechanical stress on the cable terminals.,MEDIUM,Cable,Admin Security Office,SHOCK,Maintenance Compliance,,2,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
24,IS 2189,"WPAC Warranty Parts Analysis Centre No smoke detector, no sprinklers, and no fire alarm panel. Only fire extinguisher observed in the Warranty Parts Analysis center.","Install addressable or conventional smoke detectors. Smoke detectors should be interconnected and trigger an audible/visual alarm. Install a fire alarm panel suitable for the size and risk level of the facility. Integrate all detection devices (smoke detectors, heat detectors, manual call points). Ensure backup power supply (battery or UPS) is provided. Install a wet pipe sprinkler system (or alternate type based on hazard classification and ambient temperature).",MEDIUM,Detector,WPAC – Warranty Parts Analysis Centre,FIRE,Installation,,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
25,CEA 2023 MSES Reg 43,Outside washroom socket open earth/loose.,Properly terminate the earth wire to the socket's grounding terminal. Tighten all terminal connections to ensure mechanical integrity. Use a continuity tester or earth loop impedance tester to verify the effectiveness of the earth connection.,HIGH,Socket,WPAC – Warranty Parts Analysis Centre,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
26,IEC 61010 - 1,"Multimeter/Clampon meter with cat 3 cable, cat 2 meters cannot be used in incomer.","Do not use Cat 3 (or any low grade communication cable) for control or signal circuits in high voltage environments. Replace with meters rated for: CAT III for distribution level panels CAT IV for incomer. Ensure user safety during electrical measurements. A CAT III multimeter is rated for measuring in distribution systems like three phase installations, while a CAT II multimeter is for single phase loads in environments such as homes and offices. You should choose the multimeter's CAT rating based on the highest potential transient voltage in the measurement environment.",TOOLS,Meter,WPAC – Warranty Parts Analysis Centre,SHOCK,Maintenance Complication,,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0
27,CEA MSES 2023 Reg 108.6,Cable gland tightness to be verified to ensure integrity.,The gland's armor clamp (banjo or earthing ring) is correctly fitted and securely tightened. Continuity is maintained between gland body and earth bar using an earth continuity tester.,HIGH,Cable,WPAC – Warranty Parts Analysis Centre,SHOCK,Maintenance Complication,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
28,CEA 2023 MSES Reg 43,Warranty return storage socket open earth found.,Properly terminate the earth wire to the socket's grounding terminal. Tighten all terminal connections to ensure mechanical integrity. Use a continuity tester or earth loop impedance tester to verify the effectiveness of the earth connection.,HIGH,Socket,WPAC – Warranty Parts Analysis Centre,SHOCK,Design & Engineering,,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
29,Good Engineering Practice,DM Test Bench incomer C.B 125A poor cable routing.,"Ensure cables entering the 125A incomer follow a straight, strain free path. Maintain minimum bending radius (typically 8 12 times the cable diameter). Avoid sharp bends, twists, or routing over sharp metallic edges.",LOW,Cable,WPAC – Warranty Parts Analysis Centre,TERMINATION LOOSENING,Maintenance Complication,/content/word_images/29_obs.jpeg,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
30,IEC 60079-1,Engine Fuel test section inspection test bench max of 6 liters diesel stored.,"Store diesel only in approved, labelled, and sealed metal or certified plastic containers. Store diesel in a dedicated, well ventilated area, away from: Electrical panels or sources of ignition Heat generating equipment Maintain minimum clearance of 1.5 meters from electrical equipment.",MEDIUM,Engine,WPAC – Warranty Parts Analysis Centre,FIRE,System Deviation,/content/word_images/30_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
31,IEC 60079-1,Normal socket provided near diesel storage. To be replaced with FLP rated.,"Install a Flameproof (FLP) or Explosion Proof socket outlet certified for hazardous areas. If feasible, relocate the socket outside the hazardous zone to avoid the need for FLP design. Maintain minimum distance of 1.5 meters or more from the diesel storage point if possible.",HIGH,MCCB,WPAC – Warranty Parts Analysis Centre,FIRE,Design & Engineering,/content/word_images/31_obs.jpeg,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
32,IEC 60079-1,Non FLP rated motor near diesel storage.,Install a motor that is: FLP (Ex d) or Ex e/Ex nA rated depending on the hazardous area classification. Install the FLP motor with: FLP rated cable glands and conduits Correct earthing/bonding to dissipate static charges Avoid mounting on or near surfaces with high ambient temperatures Enclosure and cable entries must be IP65/IP66 minimum.,HIGH,Motor,WPAC – Warranty Parts Analysis Centre,FIRE,Design & Engineering,/content/word_images/32_obs.jpeg,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
33,CEA MSES 2023 Reg 43,Engine fuel test section to be earthed.,Immediately Provide Dedicated Earthing to the Fuel Test Section. Use: Copper or GI earthing conductors. Earth resistance of the system should be ≤ 1 ohm Ensure all joints are mechanically strong and corrosion protected.,HIGH,Engine,WPAC – Warranty Parts Analysis Centre,SHOCK,Design & Engineering,/content/word_images/33_obs.jpeg,3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
34,IS 1646 Clause 6.5,"RO Plant Incomer supply from PDB cable routing not proper, gland open condition.","Route cable through a dedicated cable tray, conduit, or trunking. Ensure: Minimum bending radius is maintained (typically 8 12 times the cable diameter) Cables are not crossing sharp edges, hot surfaces, or obstructing access. Install or tighten a suitable cable gland appropriate for the cable type and panel entry: Use brass/stainless steel glands for armored cables. Use polyamide/IP rated glands for flexible cables.",MEDIUM,Panel,RO Plant,FIRE,Maintenance Complication,/content/word_images/34_obs.jpeg,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
35,CEA MSES 2023 Reg 106.4,"Power control panel R & B phase insulation completely damaged, possible short circuit.","Replace all damaged R & B phase conductors with: Correct size and type (as per design). Proper insulation rating (e.g., 1.1 kV PVC/XLPE). Avoid temporary taping or insulation patchwork—it must be a permanent fix.",HIGH,Panel,Grinder Unit,FIRE/SHOCK,Maintenance Complications,/content/word_images/35_obs.jpeg,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
36,IEC 60079-1,Near Biogas two motors are non FLP rated.,"Install FLP motors with: FLP cable glands, junction boxes, and starters. Rigid conduit or armored cable with proper earthing. Perform a formal Hazardous Area Classification around the biogas zone.",MEDIUM,Motor,Grinder Unit,FIRE,Design & Engineering,,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
37,CEA MSES 2023 Reg 14,Canteen main PDB panel maintenance and cleaning required.,Schedule and perform thorough internal and external cleaning of the panel. Use: Industrial vacuum cleaner or soft brushes for dry dust removal Isopropyl alcohol or electrical contact cleaner for terminals (if required) Do not use water or wet cloths.,HIGH,Panel,Canteen,FIRE,Maintenance Complication,/content/word_images/37_obs.jpeg,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
38,CEA MSES 2023 Reg 14 & 21,Canteen kitchen DB Panel 1 & 2 rat dead inside the panel between two phase conductors.,"Isolate and de energize the panels immediately. Remove all rodent remains, droppings, and debris. Clean the panel thoroughly using: Industrial vacuum Dry cloths and electrical contact cleaners. Seal all panel entry points (top, bottom, sides) using: Rodent resistant grommets or conduit entry seals Metallic or polyamide glands with proper IP rating (IP54 or higher) Use fine steel mesh or rodent barrier foam around cable entries if needed.",HIGH,Panel,Canteen,FIRE,Maintenance Complication,/content/word_images/38_obs.jpeg,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
39,CEA MSES 2023 Reg 14,"Cable routing to be improved, many joints found. No DB schedule.","Reroute cables using proper cable trays, conduits, or cable ladders to maintain neat and secure runs. Avoid excessive bending and sharp edges to prevent mechanical stress. Minimize the number of cable joints by using longer, continuous cable lengths where feasible. Create a comprehensive DB schedule listing: Incoming and outgoing feeders Circuit identification Cable sizes, types, and lengths Joint locations (if any) Keep the schedule updated and available near the DB for reference during maintenance and troubleshooting.",HIGH,Panel,Canteen,FIRE/SHOCK,Maintenance Complication,/content/word_images/39_obs.jpeg,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
